parameter,value,relative_deviation_pct,rss,profile_chi2
E,1.6864179677984021,-0.2,0.00013906128220755873,5281.139317415607
E,1.6865024576765482,-0.195,0.00013345770363083672,5021.145528496476
E,1.6865869475546944,-0.19,0.00012799474320404408,4767.676114151622
E,1.6866714374328406,-0.185,0.0001226724652517785,4520.7340589016785
E,1.686755927310987,-0.18,0.00011749093412513979,4280.322348496917
E,1.6868404171891331,-0.17500000000000002,0.00011245021420185823,4046.4439699232057
E,1.6869249070672792,-0.17,0.00010755036988619699,3819.10191139748
E,1.6870093969454254,-0.165,0.00010279146560900668,3598.2991623702746
E,1.6870938868235716,-0.16,9.817356582779118e-05,3384.038713528779
E,1.6871783767017179,-0.155,9.369673502665459e-05,3176.323556794372
E,1.6872628665798644,-0.15,8.936103771635729e-05,2975.156685325229
E,1.6873473564580104,-0.145,8.516653843428626e-05,2780.5410935149366
E,1.6874318463361566,-0.13999999999999999,8.111330174447852e-05,2592.4797769935903
E,1.6875163362143029,-0.135,7.720139223769341e-05,2410.9757326311387
E,1.687600826092449,-0.13,7.343087453136628e-05,2236.0319585352413
E,1.6876853159705953,-0.125,6.980181326958799e-05,2067.651454050314
E,1.6877698058487414,-0.12000000000000001,6.631427312323539e-05,1905.837219763584
E,1.6878542957268876,-0.11499999999999999,6.296831878991231e-05,1750.5922575023521
E,1.6879387856050339,-0.10999999999999999,5.9764014993906655e-05,1601.919570332002
E,1.68802327548318,-0.10500000000000001,5.670142648634811e-05,1459.8221625633166
E,1.6881077653613263,-0.1,5.3780618045093046e-05,1324.3030397471398
E,1.6881922552394726,-0.09499999999999999,5.100165447479132e-05,1195.3652086774732
E,1.6882767451176186,-0.09,4.836460060689836e-05,1073.0116773920397
E,1.6883612349957648,-0.085,4.5869521299674134e-05,957.2454551722327
E,1.688445724873911,-0.07999999999999999,4.351648143825009e-05,848.0695525462246
E,1.6885302147520573,-0.075,4.1305545934541184e-05,745.486981284884
E,1.6886147046302036,-0.06999999999999999,3.9236779727372324e-05,649.5007544076416
E,1.6886991945083498,-0.065,3.731024778241661e-05,560.113886179626
E,1.6887836843864958,-0.060000000000000005,3.552601509221397e-05,477.3293921125281
E,1.688868174264642,-0.05499999999999999,3.3884146676233235e-05,401.1502889674806
E,1.6889526641427886,-0.05,3.238470758084535e-05,331.57959475381546
E,1.6890371540209348,-0.044999999999999984,3.102776287934948e-05,268.6203287302753
E,1.6891216438990808,-0.039999999999999994,2.981337767199097e-05,212.27551140584643
E,1.689206133777227,-0.035,2.8741617085941138e-05,162.54816453882142
E,1.6892906236553733,-0.029999999999999992,2.781254627537509e-05,119.44131114040984
E,1.6893751135335195,-0.025,2.702623042142518e-05,82.95797547257807
E,1.6894596034116658,-0.019999999999999987,2.63827347322441e-05,53.10118305097744
E,1.689544093289812,-0.014999999999999996,2.5882124442976398e-05,29.873960643622347
E,1.689628583167958,-0.010000000000000005,2.552446481579038e-05,13.27933627237021
E,1.6897130730461043,-0.004999999999999991,2.530982113990016e-05,3.320339213945166
E,1.6897975629242505,0.0,2.5238258731567154e-05,6.60247996582361e-12
E,1.689882052802397,0.005000000000000013,2.530984293412199e-05,3.3213504181662583
E,1.689966542680543,0.010000000000000026,2.5524639117971587e-05,13.287423512316774
E,1.6900510325586893,0.014999999999999996,2.5882712680621725e-05,29.90125358367834
E,1.6901355224368353,0.02000000000000001,2.6384129046677258e-05,53.16587619080908
E,1.6902200123149818,0.025000000000000022,2.7028953667877462e-05,83.08432815124497
E,1.6903045021931278,0.029999999999999992,2.781725202308695e-05,119.65964754107823
E,1.6903889920712742,0.035,2.8749089618320006e-05,162.89487369608634
E,1.6904734819494203,0.04000000000000002,2.9824531986760268e-05,212.79304721264555
E,1.6905579718275665,0.044999999999999984,3.104364468876697e-05,269.3572099480203
E,1.6906424617057125,0.05,3.240649331188062e-05,332.59040502062635
E,1.690726951583859,0.055000000000000014,3.39131434708838e-05,402.4956768128529
E,1.690811441462005,0.060000000000000026,3.5563660807724374e-05,479.0760709674979
E,1.6908959313401513,0.065,3.735811099162241e-05,562.3346343927304
E,1.6909804212182973,0.07,3.929655971903427e-05,652.2744152604238
E,1.6910649110964437,0.07500000000000002,4.137907271369299e-05,748.8984630080297
E,1.6911494009745898,0.07999999999999999,4.360571572656887e-05,852.209828336749
E,1.6912338908527362,0.085,4.597655453596913e-05,962.2115632161554
E,1.6913183807308823,0.09000000000000002,4.8491654947475106e-05,1078.9067208812833
E,1.6914028706090285,0.09499999999999999,5.115108279399167e-05,1202.2983558349179
E,1.6914873604871745,0.1,5.395490393576693e-05,1332.3895238485113
E,1.691571850365321,0.10500000000000001,5.690318426036893e-05,1469.1832819611016
E,1.6916563402434674,0.11000000000000003,5.999598968280321e-05,1612.682688484765
E,1.6917408301216135,0.11499999999999999,6.323338614528588e-05,1762.890802994091
E,1.6918253199997597,0.12000000000000001,6.661543961761306e-05,1919.8106863433188
E,1.6919098098779057,0.12500000000000003,7.014221609685775e-05,2083.445400652277
E,1.6919942997560522,0.13,7.38137816075767e-05,2253.7980093159786
E,1.6920787896341982,0.135,7.76302022016762e-05,2430.8715769983974
E,1.6921632795123447,0.14,8.15915439586437e-05,2614.6691696432094
E,1.6922477693904907,0.14500000000000005,8.569787298526237e-05,2805.193854460557
E,1.692332259268637,0.15,8.99492554159383e-05,3002.448699942221
E,1.692416749146783,0.15500000000000003,9.434575741245897e-05,3206.4367758504222
E,1.6925012390249294,0.16000000000000003,9.888744516417059e-05,3417.1611532260436
E,1.6925857289030755,0.165,0.00010357438488785798,3634.624904383061
E,1.692670218781222,0.17,0.00010840664282800057,3858.831102920422
E,1.692754708659368,0.17500000000000002,0.00011338428525638119,4089.782823703887
E,1.6928391985375142,0.18,0.00011850737847262871,4327.483142891215
E,1.6929236884156602,0.185,0.00012377598880365968,4571.935137906253
E,1.6930081782938067,0.19000000000000003,0.00012919018260419056,4823.141887462704
E,1.6930926681719527,0.19500000000000003,0.00013475002625640297,5081.106471548593
E,1.693177158050099,0.2,0.00014045558617017652,5345.831971437071
alpha,0.3392966287313077,-0.2,3.8684877218896885e-05,623.8936852235698
alpha,0.3393136275604025,-0.195,3.802080528946503e-05,593.0822002619677
alpha,0.33933062638949724,-0.19,3.737355632584291e-05,563.0512641160634
alpha,0.339347625218592,-0.185,3.6743129755913734e-05,533.800850240889
alpha,0.33936462404768675,-0.18,3.61295250075427e-05,505.3309320906416
alpha,0.33938162287678153,-0.17500000000000002,3.553274150856834e-05,477.6414831182802
alpha,0.33939862170587626,-0.17,3.4952778686836216e-05,450.7324767770909
alpha,0.33941562053497104,-0.165,3.4389635970075226e-05,424.60388651494577
alpha,0.33943261936406577,-0.16,3.384331278610127e-05,399.25568578375436
alpha,0.3394496181931605,-0.155,3.331380856266901e-05,374.687848032585
alpha,0.33946661702225533,-0.15,3.280112272746169e-05,350.90034670719155
alpha,0.33948361585135006,-0.145,3.230525470821956e-05,327.89315525597357
alpha,0.3395006146804448,-0.13999999999999999,3.182620393256546e-05,305.6662471218829
alpha,0.3395176135095396,-0.135,3.1363969828181424e-05,284.2195957506178
alpha,0.3395346123386343,-0.13,3.0918551822698096e-05,263.553174585492
alpha,0.3395516111677291,-0.125,3.048994934370847e-05,243.66695706807252
alpha,0.3395686099968238,-0.12000000000000001,3.007816181877569e-05,224.56091663854153
alpha,0.3395856088259186,-0.11499999999999999,2.9683188675481628e-05,206.23502673794968
alpha,0.3396026076550133,-0.10999999999999999,2.9305029341342833e-05,188.68926080431734
alpha,0.3396196064841081,-0.10500000000000001,2.8943683243868313e-05,171.92359227531452
alpha,0.33963660531320283,-0.1,2.8599149810548564e-05,155.93799458775266
alpha,0.3396536041422976,-0.09499999999999999,2.8271428468841134e-05,140.73244117691425
alpha,0.33967060297139234,-0.09,2.7960518646175e-05,126.30690547675637
alpha,0.3396876018004871,-0.085,2.766641976996914e-05,112.6613609207718
alpha,0.33970460062958185,-0.07999999999999999,2.7389131267623627e-05,99.79578094157668
alpha,0.3397215994586766,-0.075,2.712865256648746e-05,87.71013896941707
alpha,0.33973859828777137,-0.06999999999999999,2.688498309390088e-05,76.40440843413265
alpha,0.3397555971168661,-0.065,2.6658122277202572e-05,65.8785627654911
alpha,0.3397725959459609,-0.060000000000000005,2.644806954366672e-05,56.13257539026726
alpha,0.3397895947750556,-0.05499999999999999,2.6254824320572057e-05,47.16641973544731
alpha,0.3398065936041504,-0.05,2.6078386035172565e-05,38.980069226868565
alpha,0.33982359243324517,-0.044999999999999984,2.5918754114682438e-05,31.57349728852262
alpha,0.3398405912623399,-0.039999999999999994,2.5775927986304597e-05,24.946677343877923
alpha,0.3398575900914347,-0.035,2.564990707721748e-05,19.09958281526697
alpha,0.3398745889205294,-0.029999999999999992,2.5540690814572544e-05,14.032187123770314
alpha,0.3398915877496242,-0.025,2.544827862549734e-05,9.744463689359431
alpha,0.3399085865787189,-0.019999999999999987,2.5372669937101678e-05,6.236385931182701
alpha,0.3399255854078137,-0.014999999999999996,2.5313864176463997e-05,3.5079272669328097
alpha,0.33994258423690843,-0.010000000000000005,2.5271860770639363e-05,1.5590611132180636
alpha,0.3399595830660032,-0.004999999999999991,2.5246659146670814e-05,0.38976088608870374
alpha,0.33997658189509794,0.0,2.5238258731567185e-05,8.01729710135724e-12
alpha,0.3399935807241927,0.005000000000000013,2.524665895231241e-05,0.38975186828385755
alpha,0.34001057955328745,0.010000000000000026,2.5271859235871492e-05,1.558989903345948
alpha,0.34002757838238223,0.014999999999999996,2.5313859009185415e-05,3.507687516509294
alpha,0.34004457721147696,0.02000000000000001,2.5372657699169785e-05,6.235818117911614
alpha,0.34006157604057174,0.025000000000000022,2.5448254732720355e-05,9.743355116769425
alpha,0.3400785748696665,0.029999999999999992,2.5540649536709726e-05,14.030271921225085
alpha,0.34009557369876126,0.035,2.564984153797226e-05,19.09654193764661
alpha,0.340112572527856,0.04000000000000002,2.577583016334222e-05,24.942138572397614
alpha,0.34012957135695077,0.044999999999999984,2.591861483962062e-05,31.56703523029894
alpha,0.3401465701860455,0.05,2.6078194993565477e-05,38.97120531417637
alpha,0.3401635690151403,0.055000000000000014,2.6254570051945714e-05,47.154622227361884
alpha,0.34018056784423495,0.060000000000000026,2.6447739441477215e-05,56.117259370726465
alpha,0.3401975666733298,0.065,2.6657702588876596e-05,65.85909014517506
alpha,0.34021456550242446,0.07,2.6884458920814008e-05,76.38008794945671
alpha,0.3402315643315193,0.07500000000000002,2.7128007863953363e-05,87.6802261820311
alpha,0.34024856316061397,0.07999999999999999,2.7388348844931856e-05,99.7594782401182
alpha,0.34026556198970875,0.085,2.7665481290358303e-05,112.61781751962125
alpha,0.3402825608188035,0.09000000000000002,2.7959404626814992e-05,126.25521741521275
alpha,0.34029955964789826,0.09499999999999999,2.8270118280866674e-05,140.6716513207514
alpha,0.340316558476993,0.1,2.8597621679053e-05,155.86709262893146
alpha,0.3403335573060878,0.10500000000000001,2.894191424789434e-05,171.84151473155225
alpha,0.34035055613518256,0.11000000000000003,2.930299541387648e-05,188.59489101880908
alpha,0.3403675549642773,0.11499999999999999,2.9680864603468766e-05,206.12719488013389
alpha,0.34038455379337207,0.12000000000000001,3.0075521243127883e-05,224.43839970437145
alpha,0.3404015526224668,0.12500000000000003,3.0486964759276464e-05,243.52847887878661
alpha,0.3404185514515616,0.13,3.091519457830401e-05,263.39740578910676
alpha,0.3404355502806563,0.135,3.136021012658356e-05,284.04515382029575
alpha,0.3404525491097511,0.14,3.182201083048138e-05,305.47169635700345
alpha,0.3404695479388458,0.14500000000000005,3.2300596116301957e-05,327.67700678101204
alpha,0.3404865467679406,0.15,3.2795965410372155e-05,350.6610584751436
alpha,0.34050354559703533,0.15500000000000003,3.3308118138973485e-05,374.4238248201148
alpha,0.3405205444261301,0.16000000000000003,3.383705372834368e-05,398.96527919461175
alpha,0.34053754325522484,0.165,3.43827716047428e-05,424.2853949783557
alpha,0.3405545420843196,0.17,3.494527119437029e-05,450.38414554825675
alpha,0.34057154091341435,0.17500000000000002,3.552455192340384e-05,477.26150428021424
alpha,0.34058853974250913,0.18,3.612061321802741e-05,504.9174445504194
alpha,0.34060553857160386,0.185,3.6733454504371885e-05,533.3519397326005
alpha,0.34062253740069864,0.19000000000000003,3.736307520855025e-05,562.5649631996553
alpha,0.34063953622979337,0.19500000000000003,3.8009474756665426e-05,592.5564883240145
alpha,0.34065653505888815,0.2,3.867265257478242e-05,623.3264884763498
beta,0.2793183722894382,-0.2,5.926909273430479e-05,1578.956260059376
beta,0.2793323661958655,-0.195,5.758847700634582e-05,1500.9793663928388
beta,0.2793463601022928,-0.19,5.595043455505934e-05,1424.9777796408446
beta,0.2793603540087201,-0.185,5.4354964030039934e-05,1350.9514371475354
beta,0.2793743479151474,-0.18,5.280206408063868e-05,1278.9002762457562
beta,0.2793883418215748,-0.17500000000000002,5.1291733356021005e-05,1208.8242342597375
beta,0.2794023357280021,-0.17,4.98239705051669e-05,1140.7232485051056
beta,0.2794163296344294,-0.165,4.839877417682026e-05,1074.5972562865334
beta,0.27943032354085673,-0.16,4.701614301956172e-05,1010.446194901118
beta,0.2794443174472841,-0.155,4.5676075681731384e-05,948.270001634797
beta,0.2794583113537114,-0.15,4.43785708114907e-05,888.0686137652185
beta,0.2794723052601388,-0.145,4.312362705679211e-05,829.8419685603334
beta,0.2794862991665661,-0.13999999999999999,4.191124306539791e-05,773.5900032792698
beta,0.2795002930729934,-0.135,4.074141748485693e-05,719.3126551712517
beta,0.2795142869794207,-0.13,3.9614148962509954e-05,667.0098614758505
beta,0.2795282808858481,-0.125,3.8529436145502435e-05,616.6815594235741
beta,0.2795422747922754,-0.12000000000000001,3.748727768079084e-05,568.3276862361623
beta,0.2795562686987027,-0.11499999999999999,3.648767221510917e-05,521.948179125033
beta,0.27957026260513,-0.10999999999999999,3.553061839500888e-05,477.5429752931339
beta,0.2795842565115574,-0.10500000000000001,3.4616114866814054e-05,435.11201193286365
beta,0.2795982504179847,-0.1,3.374416027666871e-05,394.6552262282659
beta,0.279612244324412,-0.09499999999999999,3.291475327051822e-05,356.17255535416786
beta,0.2796262382308393,-0.09,3.212789249409088e-05,319.66393647532476
beta,0.27964023213726663,-0.085,3.1383576592914006e-05,285.12930674716677
beta,0.279654226043694,-0.07999999999999999,3.068180421232247e-05,252.56860331619484
beta,0.2796682199501213,-0.075,3.0022573997446075e-05,221.9817633193958
beta,0.2796822138565486,-0.06999999999999999,2.9405884593216355e-05,193.3687238845566
beta,0.27969620776297593,-0.065,2.8831734644354734e-05,166.72942212971583
beta,0.2797102016694033,-0.060000000000000005,2.8300122795390738e-05,142.06379516400844
