domain,metric,mean,std,cv
arxiv,dsir_books,-50435.66622918181,56141.75343741933,1.1131359538765448
arxiv,dsir_wiki,-49884.57831445576,55948.46086982165,1.1215582602932153
arxiv,dsir_math,-32871.98192633221,34415.70755953799,1.0469617450102444
arxiv,fineweb_edu,2.1768456375340577,0.626940686086563,0.2880041998737056
arxiv,fluency_en,0.9727937284530525,0.07466152106994843,0.07674959129174899
arxiv,qurater,0.9130933842876271,0.11843595859028691,0.12970848396047435
arxiv,ad_en,0.9895424660846672,0.03330615413737596,0.033658135228050154
arxiv,modernbert_professionalism,0.9984047203857443,0.027442748492662997,0.02748659730100254
arxiv,modernbert_readability,0.9423042855843458,0.0518678501872065,0.05504363185087499
arxiv,modernbert_reasoning,0.9957512203862307,0.05906378886289129,0.05931580866150654
arxiv,modernbert_cleanliness,0.9924902538993245,0.04437568992189644,0.04471146164665289
arxiv,rps_doc_word_count,6716.737138830162,5945.696444320563,0.8852060638115297
arxiv,rps_doc_num_sentences,440.79351656095844,431.39378247416965,0.9786754257183162
arxiv,rps_doc_unigram_entropy,5.9065761131219165,0.3374231407150971,0.05712668968499118
arxiv,rps_doc_frac_unique_words,25.11990447803761,7.736013692273639,0.30796349958405506
arxiv,rps_doc_frac_no_alph_words,30.5096173842995,6.104074952461746,0.20007051794766043
arxiv,rps_doc_frac_chars_top_2gram,1.1658974350901794,0.7846825641216006,0.6730288106868572
arxiv,rps_doc_frac_chars_top_3gram,0.8892394575449722,0.812204000286934,0.9133692768529198
arxiv,rps_lines_uppercase_letter_fraction,19.50526970910975,10.494258958259044,0.5380217302690155
arxiv,rps_lines_ending_with_terminal_punctution_mark,35.559608247632546,15.822263905715102,0.44495045602108124
arxiv,rps_lines_numerical_chars_fraction,4.122667620234904,3.8217146045256865,0.9270004173433536
arxiv,rps_doc_mean_word_length,5.827555136992131,0.7829839346118151,0.13435890630044714
book,dsir_books,-57589.48665359099,97185.34937301802,1.6875536668281454
book,dsir_wiki,-86171.24315347988,123444.42431971841,1.4325477943941363
book,dsir_math,-107335.30895176384,136652.9471314524,1.273140669794539
book,fineweb_edu,1.4473609844146416,0.5465660488722939,0.37762939222335223
book,fluency_en,0.7154148418968357,0.28183753816866525,0.3939498059914541
book,qurater,0.5513941172865052,0.24224228817258017,0.4393269361753287
book,ad_en,0.929240277923199,0.12173316170579548,0.13100288977772512
book,modernbert_professionalism,0.48323023402867155,0.20422837111824227,0.4226316085721672
book,modernbert_readability,0.8925373058876992,0.07060868738901868,0.07911006847920238
book,modernbert_reasoning,0.6079840441343887,0.285504097338528,0.4695914310465362
book,modernbert_cleanliness,0.8612816775404745,0.18366900353003027,0.2132507962488254
book,rps_doc_word_count,80082.8187134503,69362.70946805131,0.8661372137292354
book,rps_doc_num_sentences,5379.87134502924,4317.520329438558,0.8025322637924703
book,rps_doc_unigram_entropy,6.583408108128655,0.3767781393565069,0.05723147238757567
book,rps_doc_frac_unique_words,12.87254003789213,9.055125138578177,0.7034450941246362
